case_id,decision,risk_level,ai_concept_tag,human_concept_tag,ai_osi_layer,human_osi_layer,ai_severity,human_severity,ai_confidence,agreed_concept,agreed_osi,agreed_severity,ai_fix,approved_fix,reviewer_notes,reviewer_id,timestamp
C001,APPROVED,Low,vlan,vlan,2,2,high,high,high,True,True,True,"On SW1, run: interface fa0/5 / switchport access vlan 20, then verify with 'show vlan brief' that Fa0/5 lists under VLAN 20.","On SW1, run: interface fa0/5 / switchport access vlan 20, then verify with 'show vlan brief' that Fa0/5 lists under VLAN 20.",Fully aligns with ground truth diagnosis and remediation.,Expert-GroundTruth,2026-08-29T13:57:32.552218+00:00
C005,MODIFIED,Medium,vlan,vlan,2,2,,medium,high,True,True,False,"Ensure both trunk ends agree on native VLAN (commonly VLAN 1, or a dedicated unused VLAN per security best practice) and that VLAN 99 is explicitly allowed and tagged (not native) on both ends: 'switchport trunk native vlan 1' on SW1 to match R1-BR, verified against 'show interfaces trunk' on both devices.","Ensure both trunk ends agree on native VLAN (commonly VLAN 1, or a dedicated unused VLAN per security best practice) and that VLAN 99 is explicitly allowed and tagged (not native) on both ends: 'switchport trunk native vlan 1' on SW1 to match R1-BR, verified against 'show interfaces trunk' on both devices.",Severity adjusted from 'unspecified' to 'medium'.,Expert-GroundTruth,2026-08-29T13:57:32.552267+00:00
C011,MODIFIED,Low,vlan,vlan,2,2,,medium,high,True,True,False,"Align VTP domain/mode across switches, or if VTP is not in use, manually ensure VLAN 30 is named and provisioned identically on every switch in the path, then re-verify end-to-end connectivity from Finance-Annex to the rest of VLAN 30.","Align VTP domain/mode across switches, or if VTP is not in use, manually ensure VLAN 30 is named and provisioned identically on every switch in the path, then re-verify end-to-end connectivity from Finance-Annex to the rest of VLAN 30.",Severity adjusted from 'unspecified' to 'medium'.,Expert-GroundTruth,2026-08-29T13:57:32.552296+00:00
C018,APPROVED,Low,gateway,gateway,3,3,medium,medium,high,True,True,True,"Correct PC-BR5's subnet mask to 255.255.255.0 to match the rest of the Branch LAN, then re-test connectivity to HQ resources.","Correct PC-BR5's subnet mask to 255.255.255.0 to match the rest of the Branch LAN, then re-test connectivity to HQ resources.",Fully aligns with ground truth diagnosis and remediation.,Expert-GroundTruth,2026-08-29T13:57:32.552314+00:00
C023,MODIFIED,Low,nat,nat,3,3,,medium,high,True,True,False,"Consider expanding the NAT overload pool to use a small pool of outside addresses instead of a single IP (e.g. 'ip nat pool OUTSIDE_POOL 203.0.113.5 203.0.113.8 netmask 255.255.255.252' with 'ip nat inside source list 1 pool OUTSIDE_POOL overload'), and review/adjust NAT translation timeout values to free up ports from idle sessions sooner.","Consider expanding the NAT overload pool to use a small pool of outside addresses instead of a single IP (e.g. 'ip nat pool OUTSIDE_POOL 203.0.113.5 203.0.113.8 netmask 255.255.255.252' with 'ip nat inside source list 1 pool OUTSIDE_POOL overload'), and review/adjust NAT translation timeout values to free up ports from idle sessions sooner.",Severity adjusted from 'unspecified' to 'medium'.,Expert-GroundTruth,2026-08-29T13:57:32.552349+00:00
C025,REJECTED,Low,,wireless,0,3,high,high,high,False,False,True,"Rewrite ACL GUEST_ISOLATION to explicitly deny guest traffic to internal subnets before the permit-any, e.g. 'deny ip 172.16.50.0 0.0.0.255 10.10.99.0 0.0.0.255' (and any other internal ranges) followed by 'permit ip 172.16.50.0 0.0.0.255 any' for internet access, then verify guest hosts can no longer reach 10.10.99.10.","Rewrite ACL GUEST_ISOLATION to explicitly deny guest traffic to internal subnets before the permit-any, e.g. 'deny ip 172.16.50.0 0.0.0.255 10.10.99.0 0.0.0.255' (and any other internal ranges) followed by 'permit ip 172.16.50.0 0.0.0.255 any' for internet access, then verify guest hosts can no longer reach 10.10.99.10.","Disagreement on root cause: AI predicted unknown/L0, ground truth is wireless/L3.",Expert-GroundTruth,2026-08-29T13:57:32.552384+00:00
C029,MODIFIED,Low,wireless,wireless,2,2,,medium,high,True,True,False,"Either update the printed Wi-Fi card/documentation to match the current PSK 'CorpWifi2023!', or if that key was changed in error, revert WLC1's Corp-WiFi PSK to the documented value — confirm with the admin team which is the intended source of truth before changing controller configuration.","Either update the printed Wi-Fi card/documentation to match the current PSK 'CorpWifi2023!', or if that key was changed in error, revert WLC1's Corp-WiFi PSK to the documented value — confirm with the admin team which is the intended source of truth before changing controller configuration.",Severity adjusted from 'unspecified' to 'medium'.,Expert-GroundTruth,2026-08-29T13:57:32.552420+00:00
C030,APPROVED,Low,wireless,wireless,7,7,high,high,medium,True,True,True,"Cannot be finalized without AP2's own console/discovery logs; likely candidates to check are DHCP Option 43 (WLC IP advertisement) on the AP's VLAN, correct primary/secondary WLC IP statically configured on the AP, and that AP2's management VLAN matches what SW-ACC3's trunk allows — confirm root cause before applying a fix.","Cannot be finalized without AP2's own console/discovery logs; likely candidates to check are DHCP Option 43 (WLC IP advertisement) on the AP's VLAN, correct primary/secondary WLC IP statically configured on the AP, and that AP2's management VLAN matches what SW-ACC3's trunk allows — confirm root cause before applying a fix.",Fully aligns with ground truth diagnosis and remediation.,Expert-GroundTruth,2026-08-29T13:57:32.552456+00:00
C002,APPROVED,Low,gateway,gateway,3,3,medium,medium,high,true,true,true,"Reconfigure PC-SALES3's default gateway to 10.10.10.1 to match R1-BR's Gi0/0.10 address, then re-test connectivity to 10.10.99.10.","Reconfigure PC-SALES3's default gateway to 10.10.10.1 to match R1-BR's Gi0/0.10 address, then re-test connectivity to 10.10.99.10.",Verified gateway address settings.,WebDashboard-NetEng,2026-08-29T14:46:17.366Z
C003,REJECTED,Low,dhcp,dhcp,7,7,high,high,high,true,true,true,"Reclaim stale leases with 'clear ip dhcp binding *' after confirming they are no longer in use, or reduce the pool's excluded range so more usable addresses are available; consider shortening the lease time or expanding the subnet if exhaustion is a recurring pattern.","Reclaim stale leases with 'clear ip dhcp binding *' after confirming they are no longer in use, or reduce the pool's excluded range so more usable addresses are available; consider shortening the lease time or expanding the subnet if exhaustion is a recurring pattern.",Reviewed via Web Dashboard.,WebDashboard-NetEng,2026-08-29T16:55:22.718Z
C026,APPROVED,Low,dhcp,dhcp,7,7,high,high,high,true,true,true,"Add 'ip helper-address 172.16.99.10' under 'interface Vlan50' on SW-CORE, then have a guest client reconnect and confirm it receives a 172.16.50.0/24 address.","Add 'ip helper-address 172.16.99.10' under 'interface Vlan50' on SW-CORE, then have a guest client reconnect and confirm it receives a 172.16.50.0/24 address.",Reviewed via Web Dashboard.,WebDashboard-NetEng,2026-08-29T18:13:33.564Z
