case_id,fault,osi_layer,concept_tag,severity,confidence,next_command,fix,reasoning,latency_sec
C001,"Access port Fa0/5 on switch SW1 is assigned to VLAN 10 instead of the intended VLAN 20. Because of this, the PC (configured with an IP in the VLAN 10 subnet 10.10.10.0/24) cannot reach its statically configured default gateway on VLAN 20 (10.10.20.1).",2,vlan,high,high,show running-config interface fa0/5,"Access switch SW1 configuration mode, enter interface Fa0/5, and change the access VLAN to 20 using the command 'switchport access vlan 20'. Then verify connectivity from the PC.",Pre-analysis rules confirmed both that interface Fa0/5 is incorrectly placed in VLAN 10 (VLAN-001) and that the PC's IP configuration places it on the VLAN 10 subnet while its gateway is set to VLAN 20 (IPCFG-005). Correcting the switchport VLAN membership resolves both issues.,3.24
C002,"PC-SALES3 is configured with an incorrect default gateway IP address (10.10.10.254 instead of the actual router subinterface IP 10.10.10.1). Because of this mismatch, traffic destined for remote networks is sent to a non-existent gateway, causing inter-VLAN communication to fail.",3,gateway,high,high,ipconfig /all,Update the default gateway on PC-SALES3 to 10.10.10.1 to match the GigabitEthernet0/0.10 subinterface IP on router R1-BR.,"Pre-analysis rule GW-001 flagged that the host's configured gateway (10.10.10.254) does not match any active router interface in that subnet (10.10.10.1). The host can ping the actual gateway (10.10.10.1) directly because it is on the local subnet, but it cannot route past its own subnet due to the wrong gateway setting.",1.41
C003,"The DHCP pool for VLAN 10 (VLAN10_POOL) on router R1-BR is completely exhausted, showing 254 out of 254 addresses leased. As a result, newly connected hosts such as PC-SALES5 cannot obtain a valid IP address and fall back to an APIPA address (169.254.x.x).",7,dhcp,high,high,show ip dhcp binding,"Review active leases using 'show ip dhcp binding', clear stale or abandoned leases with 'clear ip dhcp binding *', or expand the subnet/exclude range to accommodate more clients. Additionally, configure an appropriate lease duration if leases are lingering too long.","The pre-analysis and show output confirm that the VLAN10_POOL has reached 100% utilization (254/254 leased addresses). When a DHCP pool is exhausted, new clients cannot obtain an IP address and receive APIPA addresses.",1.71
C004,"Extended access list 101, applied inbound on interface Gi0/0.99, contains a deny statement that explicitly blocks all IP traffic originating from the Engineering subnet (10.10.20.0/24) from reaching the servers network.",3,acl,high,high,show running-config interface gi0/0.99,Modify access-list 101 on R1-BR to remove or correct sequence 10 ('deny ip 10.10.20.0 0.0.0.255 any') so that Engineering traffic is permitted.,"Show access-lists 101 reveals an explicit deny entry for the Engineering subnet (10.10.20.0/24), which is applied inbound on the Servers sub-interface (Gi0/0.99). This prevents Engineering users from reaching Server1 while allowing Sales users (who are not blocked by the ACL) to succeed.",1.65
C005,"There is a native VLAN mismatch on the 802.1Q trunk link between SW1 and R1-BR. SW1 has its native VLAN set to the default VLAN 1, while R1-BR has subinterface GigabitEthernet0/0.1 explicitly configured with 'encapsulation dot1Q 1 native', which configures VLAN 1 as native on the router, but the server is on VLAN 99. The symptom states that the trunk shows VLAN 99 traffic being tagged incorrectly because the native VLANs do not align with the router subinterface setup for VLAN 99 traffic or the native VLAN configuration is mismatched on the physical parent or subinterface level, causing control traffic or native traffic misdirection.",2,vlan,high,high,show interfaces gigabitethernet 0/0 switchport,"Ensure the native VLAN matches on both ends of the trunk link. If VLAN 99 is intended to be used or native, align the native VLAN configuration on SW1 using 'switchport trunk native vlan 99' or correct the router subinterface encapsulation matching.","The show output reveals SW1 uses native VLAN 1 on Gi0/1, while R1-BR has subinterface gi0/0.1 configured with 'encapsulation dot1Q 1 native'. The symptom notes that VLAN 99 traffic is tagged incorrectly across the trunk to R1-BR, indicating a native VLAN mismatch or misconfiguration where VLAN 99 frames are mishandled as native traffic.",2.11
C006,"The DHCP pool VLAN20_POOL on router R1-BR is incorrectly configured with the network statement 10.10.10.0 255.255.255.0 instead of 10.10.20.0 255.255.255.0. As a result, VLAN 20 hosts are receiving IP addresses from the Sales subnet (10.10.10.0/24) while being assigned the gateway 10.10.20.1, creating a subnet mismatch.",7,dhcp,high,high,show running-config | section ip dhcp pool,"On R1-BR: configure terminal, then ip dhcp pool VLAN20_POOL, change the network statement to 'network 10.10.20.0 255.255.255.0'. Verify by releasing and renewing the IP address on a test client.","The DHCP pool configuration output explicitly shows that VLAN20_POOL is serving the 10.10.10.0/24 network instead of the intended 10.10.20.0/24 network for the Engineering VLAN, causing clients to obtain mismatched IP addresses.",1.78
C007,"VLAN 40 is missing from the trunk allowed list on the distribution switch interface Gi0/1 (allowed VLANs are currently 1,10,20,30). As a result, traffic from HR users on VLAN 40 cannot traverse the trunk link toward the core switch and other subnets.",2,vlan,high,high,show running-config interface gi0/1,"On SW-DIST interface Gi0/1, run the command 'switchport trunk allowed vlan add 40' to include VLAN 40 on the trunk link.","The pre-analysis rule TRUNK-001 explicitly failed because VLAN 40 is missing from the trunk allowed list on Gi0/1. Even though the SVI is up on SW-CORE, layer 2 transport across the trunk is blocked for VLAN 40.",1.34
C008,"HR PCs on VLAN 40 are unable to obtain IP addresses via DHCP because the 'ip helper-address 172.16.99.10' command is missing on SVI Vlan40 on the core switch SW-CORE, preventing DHCP broadcast requests from being forwarded to the centralized DHCP server.",7,dhcp,high,high,show running-config interface vlan 40,"Access SW-CORE configuration mode, enter interface Vlan40, and add the command 'ip helper-address 172.16.99.10'. Verify by requesting a new IP address on the HR PC.","Finance PCs on VLAN 30 successfully get DHCP addresses and have 'ip helper-address 172.16.99.10' configured on SVI Vlan30. SVI Vlan40 lacks this helper address configuration entirely, causing DHCP requests from VLAN 40 to fail to reach the DHCP server.",1.61
C009,"The Finance user's PC is configured with an incorrect DNS server IP address (172.16.99.200 instead of the correct 172.16.99.20). Pinging the configured DNS server times out, and domain name resolution fails.",7,dns,medium,high,ipconfig /all,Update the DNS server setting on the PC network adapter configuration from 172.16.99.200 to 172.16.99.20 (or correct the DNS IP address in the DHCP scope serving the Finance VLAN).,"The PC can communicate via IP (can ping 8.8.8.8 and local servers if they are reached by IP), but hostname lookups fail. Checking the ipconfig output reveals the DNS server is set to 172.16.99.200, whereas the topology specifies the internal DNS server should be 172.16.99.20. Pinging 172.16.99.20 confirms the incorrect address is unreachable.",1.55
C010,"OSPF routing between SW-CORE and Edge-R1 is down because the OSPF neighbor relationship has not formed. The OSPF interface GigabitEthernet0/1 on Edge-R1 is in the DOWN state, meaning OSPF hello packets are not being exchanged or successfully processed, preventing the server subnet route (172.16.99.0/24) from being learned by SW-CORE.",3,routing,high,high,show ip interface brief,"Verify that the physical link between SW-CORE and Edge-R1 is up and both interfaces have correct IP addresses in the same subnet (172.16.250.0/30). Check that OSPF is enabled on SW-CORE's connecting interface and that OSPF parameters (such as hello/dead timers, area IDs, or authentication) match on both routers. Ensure no ACLs or firewalls are blocking OSPF multicast traffic (224.0.0.5).","The pre-analysis and show commands confirm that SW-CORE has no OSPF routes and no OSPF neighbors. Edge-R1 shows the interface state as DOWN with 0 neighbors, which directly explains why Finance (VLAN 30) cannot reach the data center subnet (172.16.99.0/24) that relies on OSPF for propagation.",1.88
