case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity,expected_next_command,expected_fix
C001,"PC-ENG1 (VLAN 20 - Engineering) cannot reach any other host on the network, including its own default gateway.","Topology A (SOHO Branch): R1-BR router-on-a-stick with sub-interfaces Gi0/0.10 (VLAN10, 10.10.10.1/24), Gi0/0.20 (VLAN20, 10.10.20.1/24), Gi0/0.99 (VLAN99 Servers, 10.10.99.1/24). SW1 access switch, PC-ENG1 physically on port Fa0/5, meant to be VLAN 20.","SW1# show interfaces fa0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Access Mode VLAN: 10 (VLAN0010)
Voice VLAN: none

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------
10   Sales                            active    Fa0/1, Fa0/2, Fa0/5
20   Engineering                      active    Fa0/6, Fa0/7
99   Servers                          active    Fa0/10

PC-ENG1> ipconfig
IP Address..............: 10.10.10.45
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 10.10.20.1

PC-ENG1> ping 10.10.20.1
Request timed out. (4/4 packets lost)","Access port Fa0/5 is assigned to VLAN 10 instead of VLAN 20, so PC-ENG1 lands in the wrong IP subnet (10.10.10.x) while its default gateway is statically set for VLAN 20 (10.10.20.1), which is unreachable from VLAN 10.",2,vlan,high,show running-config interface fa0/5,"On SW1, run: interface fa0/5 / switchport access vlan 20, then verify with 'show vlan brief' that Fa0/5 lists under VLAN 20."
C002,"PC-SALES3 on VLAN 10 can ping its own subnet and other Sales PCs, but cannot reach anything outside VLAN 10, including the Servers VLAN.","Topology A (SOHO Branch): PC-SALES3 statically configured, VLAN10 gateway on R1-BR is 10.10.10.1 via Gi0/0.10.","PC-SALES3> ipconfig
IP Address..............: 10.10.10.52
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 10.10.10.254

PC-SALES3> ping 10.10.10.1
Reply from 10.10.10.1: bytes=32 time=2ms TTL=255 (4/4 received)

PC-SALES3> ping 10.10.99.10
Request timed out. (4/4 packets lost)

R1-BR# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10   10.10.10.1      YES manual up                    up
GigabitEthernet0/0.20   10.10.20.1      YES manual up                    up
GigabitEthernet0/0.99   10.10.99.1      YES manual up                    up","PC-SALES3 is statically configured with default gateway 10.10.10.254, which does not exist on the VLAN 10 subnet (the real gateway is 10.10.10.1 on R1-BR sub-interface Gi0/0.10). Local-subnet traffic (to the gateway's own IP) works because ARP resolves it directly, but any traffic destined off-subnet is sent to a non-existent gateway and dropped.",3,gateway,medium,show running-config (verify no secondary gateway/HSRP exists at .254),"Reconfigure PC-SALES3's default gateway to 10.10.10.1 to match R1-BR's Gi0/0.10 address, then re-test connectivity to 10.10.99.10."
C003,Newly connected PC-SALES5 on VLAN 10 is not getting an IP address; it shows a 169.254.x.x self-assigned address.,Topology A (SOHO Branch): R1-BR runs local DHCP pools for VLAN10 and VLAN20.,"R1-BR# show ip dhcp pool
Pool VLAN10_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 254
 Pending event                  : none

R1-BR# show running-config | section dhcp pool VLAN10_POOL
ip dhcp pool VLAN10_POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.99.20

PC-SALES5> ipconfig
IP Address..............: 169.254.34.12
Subnet Mask..............: 255.255.0.0
Default Gateway..........: 0.0.0.0","DHCP pool VLAN10_POOL is fully exhausted (254/254 addresses leased), so no address remains to offer PC-SALES5. It falls back to an APIPA (169.254.x.x) address.",7,dhcp,high,show ip dhcp binding,"Reclaim stale leases with 'clear ip dhcp binding *' after confirming they are no longer in use, or reduce the pool's excluded range so more usable addresses are available; consider shortening the lease time or expanding the subnet if exhaustion is a recurring pattern."
C004,"Engineering (VLAN 20) users report they can browse the internal file share on their own VLAN but cannot reach Server1 (10.10.99.10) on the Servers VLAN, while Sales (VLAN 10) users can reach it fine.",Topology A (SOHO Branch): R1-BR has ACL 101 applied inbound on Gi0/0.99 (Servers sub-interface) intended to restrict only guest/unknown traffic.,"R1-BR# show access-lists 101
Extended IP access list 101
    10 deny ip 10.10.20.0 0.0.0.255 any
    20 permit ip any any (142 matches)

R1-BR# show ip interface gi0/0.99 | include access list
  Inbound  access list is 101

PC-ENG7> ping 10.10.99.10
Request timed out. (4/4 packets lost)

PC-SALES2> ping 10.10.99.10
Reply from 10.10.99.10: bytes=32 time=3ms TTL=254 (4/4 received)","ACL 101 applied inbound on Gi0/0.99 explicitly denies all traffic from the Engineering subnet (10.10.20.0/24) before the permit-any statement is reached, blocking every Engineering host from reaching the Servers VLAN.",3,acl,high,show running-config interface gi0/0.99,"Remove or correct ACL 101 line 10 (the deny for 10.10.20.0/24) if Engineering is supposed to have server access, or add a specific permit for the required service/ports above the deny if the restriction should be partial rather than total."
C005,"Server1 (VLAN 99, Servers) is unreachable from every VLAN, and SW1's trunk to R1-BR shows VLAN 99 traffic being tagged incorrectly.",Topology A (SOHO Branch): trunk link between SW1 and R1-BR carries VLAN10/20/99. Native VLAN should be consistent on both ends (VLAN 1 by convention here).,"SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

R1-BR# show interfaces gi0/0.99
GigabitEthernet0/0.99 is up, line protocol is up
  Encapsulation 802.1Q Virtual LAN, Vlan ID  99

R1-BR# show interfaces gi0/0 | include Native
(no output - Gi0/0 is the trunk parent, native VLAN configured under gi0/0.1 as 99)

R1-BR# show running-config interface gi0/0.1
interface GigabitEthernet0/0.1
 encapsulation dot1Q 1 native","Native VLAN mismatch: SW1's trunk uses native VLAN 1 (the default), while R1-BR's trunk parent is configured with 'encapsulation dot1Q 1 native' — on closer inspection this actually matches, but the true root cause is that VLAN 99 is not included in R1-BR's dot1Q sub-interface for native traffic, meaning VLAN 99 traffic is being untagged and dropped or misassociated. Evidence is insufficient to confirm without 'show interfaces gi0/1 switchport' on SW1 to compare native VLAN configuration on both trunk ends directly.",2,vlan,medium,show interfaces gi0/1 switchport (on SW1) to directly compare native VLAN against R1-BR's trunk parent,"Ensure both trunk ends agree on native VLAN (commonly VLAN 1, or a dedicated unused VLAN per security best practice) and that VLAN 99 is explicitly allowed and tagged (not native) on both ends: 'switchport trunk native vlan 1' on SW1 to match R1-BR, verified against 'show interfaces trunk' on both devices."
C006,"All new Engineering (VLAN 20) hosts are receiving IP addresses in the 10.10.10.0/24 range (Sales subnet) instead of 10.10.20.0/24, causing gateway/subnet conflicts.",Topology A (SOHO Branch): R1-BR has a dedicated DHCP pool VLAN20_POOL intended to serve VLAN 20 hosts via Gi0/0.20.,"R1-BR# show running-config | section ip dhcp pool VLAN20_POOL
ip dhcp pool VLAN20_POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.20.1
 dns-server 10.10.99.20

PC-ENG9> ipconfig /release
PC-ENG9> ipconfig /renew
IP Address..............: 10.10.10.88
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 10.10.20.1","DHCP pool VLAN20_POOL has the wrong network statement (10.10.10.0/24, the Sales subnet) instead of 10.10.20.0/24. The pool hands out addresses from the wrong subnet while still pointing to the correct VLAN 20 default-router, producing a subnet mismatch that will break connectivity even though DHCP itself 'succeeds'.",7,dhcp,high,show ip dhcp pool VLAN20_POOL (confirm subnet after fix),"Correct the network statement to 'network 10.10.20.0 255.255.255.0' under pool VLAN20_POOL on R1-BR, then clear existing incorrect leases with 'clear ip dhcp binding *' and have affected clients renew."
C007,"HR department (VLAN 40) users on SW-ACC can reach each other but cannot reach any host on Finance (VLAN 30) or the server subnet, despite SW-CORE showing VLAN 40's SVI as up.","Topology B (Campus L3): SW-CORE (SVIs for VLAN30/40), SW-DIST (distribution), SW-ACC (access, HR users). Trunk SW-DIST <-> SW-ACC should carry VLAN 30 and 40.","SW-DIST# show interfaces trunk
Port        Mode   Encapsulation  Status        Native vlan
Gi0/1       on     802.1q         trunking      1

SW-DIST# show interfaces gi0/1 switchport | include Allowed
Trunking VLANs Allowed: 1,10,20,30

SW-CORE# show interfaces vlan 40
Vlan40 is up, line protocol is up
  Internet address is 172.16.40.1/24","The trunk on SW-DIST toward SW-ACC has an allowed-VLAN list of only 1,10,20,30 — VLAN 40 is not included, so HR traffic is dropped at the trunk before it ever reaches SW-CORE, even though the VLAN 40 SVI itself is up.",2,vlan,high,show running-config interface gi0/1 (on SW-DIST),"On SW-DIST, add VLAN 40 to the trunk: 'switchport trunk allowed vlan add 40' on the Gi0/1 interface, then confirm with 'show interfaces trunk' that VLAN 40 appears in the allowed and active list."
C008,HR (VLAN 40) PCs are not receiving IP addresses via DHCP; Finance (VLAN 30) PCs on the same core switch get addresses without issue.,"Topology B (Campus L3): DHCP is centralized on DHCP-SRV (172.16.99.10), reached via 'ip helper-address' configured on each VLAN's SVI on SW-CORE.","SW-CORE# show running-config interface vlan 30
interface Vlan30
 ip address 172.16.30.1 255.255.255.0
 ip helper-address 172.16.99.10

SW-CORE# show running-config interface vlan 40
interface Vlan40
 ip address 172.16.40.1 255.255.255.0

PC-HR2> ipconfig
IP Address..............: 169.254.12.9
Subnet Mask..............: 255.255.0.0
Default Gateway..........: 0.0.0.0","The Vlan40 SVI on SW-CORE is missing the 'ip helper-address 172.16.99.10' statement, so DHCP broadcast requests from HR clients are never relayed to the DHCP server, and clients fall back to APIPA.",7,dhcp,high,show ip interface vlan 40 (confirm helper-address after fix),"Add 'ip helper-address 172.16.99.10' under 'interface Vlan40' on SW-CORE, then have PC-HR2 release/renew and confirm it receives a 172.16.40.0/24 address."
C009,"A Finance user can ping internal servers and external sites by IP address, but web browsing by hostname (e.g. intranet.corp.local) fails.","Topology B (Campus L3): DNS resolution for the campus should point to internal DNS server 172.16.99.20, which forwards external queries upstream.","PC-FIN4> ipconfig /all
IP Address..............: 172.16.30.55
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 172.16.30.1
DNS Server...............: 172.16.99.200

PC-FIN4> ping 172.16.99.20
Request timed out. (4/4 packets lost)

PC-FIN4> ping 8.8.8.8
Reply from 8.8.8.8: bytes=32 time=40ms TTL=112 (4/4 received)

PC-FIN4> nslookup intranet.corp.local
DNS request timed out.","PC-FIN4's DNS server is configured as 172.16.99.200, a typo of the real DNS server address 172.16.99.20 (extra trailing zero, wrong host). Since that address doesn't respond, name resolution fails while direct IP-based connectivity (which doesn't depend on DNS) works normally.",7,dns,medium,"show ip dhcp pool (to check whether the wrong DNS server is coming from a DHCP option, or was set statically)","Correct the DNS server entry to 172.16.99.20 on PC-FIN4 (statically or by fixing the DHCP pool's 'dns-server' option if it is centrally assigned), then re-test 'nslookup intranet.corp.local'."
C010,"Finance (VLAN 30) can reach HR (VLAN 40) and other local campus subnets, but cannot reach the data center server subnet (172.16.99.0/24) reachable only via Edge-R1.",Topology B (Campus L3): SW-CORE connects to Edge-R1 via a routed link; OSPF runs between SW-CORE and Edge-R1 to exchange the server subnet route.,"SW-CORE# show ip route ospf
(no output)

SW-CORE# show ip ospf neighbor
(no output - no neighbors found)

SW-CORE# show ip protocols | include Routing Protocol
Routing Protocol is ""ospf 1""

Edge-R1# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Gi0/1        1     0               172.16.250.1/30    1     DOWN  0/0","No OSPF adjacency exists between SW-CORE and Edge-R1 — Edge-R1's Gi0/1 OSPF interface is in a DOWN state, so the server subnet route (172.16.99.0/24) learned from further upstream is never advertised into the campus, and SW-CORE has no route to it.",3,routing,high,"show running-config interface gi0/1 (on Edge-R1, confirm OSPF network statement/area and interface no-shutdown state)","Verify Gi0/1 on Edge-R1 is not administratively shut down and that it is included in the correct OSPF network statement/area matching SW-CORE's configuration, then confirm adjacency forms with 'show ip ospf neighbor' on both devices."
