case_id,rule_id,status,message,evidence,confidence
C001,IPCFG-005,FAIL,Host 1 default gateway 10.10.20.1 is outside the host subnet 10.10.10.0/24.,"IP=10.10.10.45, Mask=255.255.255.0, Gateway=10.10.20.1",High
C001,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C001,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C001,GW-001,NOT_APPLICABLE,No router interface IPs were available for gateway comparison.,,High
C001,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C001,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C001,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C001,VLAN-001,FAIL,"Access access port is in VLAN 10, but case context indicates VLAN 20.",Access Mode VLAN: 10; intended VLAN: 20,High
C001,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C001,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C001,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C001,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C001,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C001,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C001,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C001,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C001,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C001,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C001,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C002,IPCFG-006,PASS,Host 1 IP/mask/gateway are internally consistent at the subnet level.,"IP=10.10.10.52, Mask=255.255.255.0, Gateway=10.10.10.254",High
C002,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C002,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C002,GW-001,FAIL,Observed gateway 10.10.10.254 does not match any supplied router interface IP in the host subnet.,"Host subnet=10.10.10.0/24; gateway=10.10.10.254; router IPs=['10.10.10.1', '10.10.20.1', '10.10.99.1']",High
C002,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C002,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C002,IF-001,PASS,No administratively-down/down interface was found in the supplied summary.,All parsed interfaces are operational.,High
C002,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C002,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C002,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C002,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C002,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C002,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C002,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C002,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C002,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C002,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C002,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C002,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C003,IPCFG-006,PASS,Host 1 IP/mask/gateway are internally consistent at the subnet level.,"IP=169.254.34.12, Mask=255.255.0.0, Gateway=0.0.0.0",High
C003,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C003,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C003,GW-001,NOT_APPLICABLE,No router interface IPs were available for gateway comparison.,,High
C003,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C003,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C003,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C003,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C003,DHCP-001,FAIL,At least one DHCP pool is exhausted.,"total=254, leased=254",High
C003,DHCP-002,WARNING,"DHCP-related symptom detected, but no interface configuration block was supplied.",No ip helper-address evidence available.,Medium
C003,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C003,ROUTE-001,NOT_APPLICABLE,Symptom does not clearly indicate a routed-connectivity problem.,,Medium
C003,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C003,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C003,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C003,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C003,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C003,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C003,DNS-001,WARNING,"DNS evidence is present, but this checker cannot fully validate record correctness without a DNS zone/database view.",DNS/lookup evidence supplied,Medium
C004,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C004,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C004,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C004,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C004,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C004,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C004,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C004,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C004,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C004,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C004,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C004,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
